idx,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
144,10,10,400,10,10,100,100,13.04360378,3.9,57.6,800,153.618761
145,10,40,400,10,10,100,100,13.04360378,12,57.6,800,614.4750441
146,40,10,400,10,10,100,100,13.04360378,7.5,57.6,800,153.618761
147,40,40,400,10,10,100,100,13.04360378,15.6,57.6,800,614.4750441
148,10,10,700,10,10,100,100,14.52123919,4.7,57.6,2450,199.4295056
149,10,40,700,10,10,100,100,14.52123919,14.6,57.6,2450,797.7180224
150,40,10,700,10,10,100,100,14.52123919,8.9,57.6,2450,199.4295056
151,40,40,700,10,10,100,100,14.52123919,18.8,57.6,2450,797.7180224
152,10,10,1000,10,10,100,100,13.35130455,5.3,57.6,5000,212.815421
153,10,40,1000,10,10,100,100,13.35130455,16.4,57.6,5000,851.2616841
154,40,10,1000,10,10,100,100,13.35130455,10.1,57.6,5000,212.815421
155,40,40,1000,10,10,100,100,13.35130455,21.2,57.6,5000,851.2616841
156,10,10,1300,10,10,100,100,13.50318198,9.4,57.6,8450,215.4258901
157,10,40,1300,10,10,100,100,13.50318198,28.6,57.6,8450,861.7035605
158,40,10,1300,10,10,100,100,13.50318198,18.4,57.6,8450,215.4258901
159,40,40,1300,10,10,100,100,13.50318198,37.6,57.6,8450,861.7035605
160,10,10,400,10,40,70,100,12.5921502,3.7,55.44,800,142.0748178
161,10,40,400,10,40,70,100,12.5921502,11.5,55.44,800,568.2992712
162,40,10,400,10,40,70,100,12.5921502,7,55.44,800,142.0748178
163,40,40,400,10,40,70,100,12.5921502,14.8,55.44,800,568.2992712
164,10,10,700,10,40,70,100,13.88189214,4.4,55.44,2450,183.3865784
165,10,40,700,10,40,70,100,13.88189214,14,55.44,2450,733.5463134
166,40,10,700,10,40,70,100,13.88189214,8,55.44,2450,183.3865784
167,40,40,700,10,40,70,100,13.88189214,17.6,55.44,2450,733.5463134
168,10,10,1000,10,40,70,100,13.25873876,5.2,55.44,5000,194.642938
169,10,40,1000,10,40,70,100,13.25873876,16.3,55.44,5000,778.5717521
170,40,10,1000,10,40,70,100,13.25873876,9.7,55.44,5000,194.642938
171,40,40,1000,10,40,70,100,13.25873876,20.8,55.44,5000,778.5717521
172,10,10,1300,10,40,70,100,12.90883388,9.8,55.44,8450,197.7921292
173,10,40,1300,10,40,70,100,12.90883388,31.1,55.44,8450,791.1685166
174,40,10,1300,10,40,70,100,12.90883388,17.9,55.44,8450,197.7921292
175,40,40,1300,10,40,70,100,12.90883388,39.2,55.44,8450,791.1685166
176,10,10,400,10,70,40,100,12.1498499,3.7,53.28,800,130.1437567
177,10,40,400,10,70,40,100,12.1498499,12.1,53.28,800,520.5750267
