,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
222,40,10,400,10,70,10,100,10.43453095,4.1,46.8,800,98.09928714
223,40,20,400,10,70,10,100,10.43453095,6.8,46.8,800,196.1985743
224,40,40,400,10,70,10,100,10.43453095,12.2,46.8,800,392.3971485
225,10,10,700,10,70,10,100,12.07212227,7.1,46.8,2450,121.0749083
226,10,20,700,10,70,10,100,12.07212227,13.5,46.8,2450,242.1498167
227,10,40,700,10,70,10,100,12.07212227,4.6,46.8,2450,484.2996333
228,20,10,700,10,70,10,100,12.07212227,7.8,46.8,2450,121.0749083
229,20,20,700,10,70,10,100,12.07212227,14.2,46.8,2450,242.1498167
230,20,40,700,10,70,10,100,12.07212227,6,46.8,2450,484.2996333
231,40,10,700,10,70,10,100,12.07212227,9.2,46.8,2450,121.0749083
232,40,20,700,10,70,10,100,12.07212227,15.6,46.8,2450,242.1498167
233,40,40,700,10,70,10,100,12.07212227,3.9,46.8,2450,484.2996333
234,10,10,1000,10,70,10,100,11.27140289,17,46.8,5000,128.1548074
235,10,20,1000,10,70,10,100,11.27140289,7.4,46.8,5000,256.3096147
236,10,40,1000,10,70,10,100,11.27140289,11.2,46.8,5000,512.6192295
237,20,10,1000,10,70,10,100,11.27140289,18.8,46.8,5000,128.1548074
238,20,20,1000,10,70,10,100,11.27140289,4.7,46.8,5000,256.3096147
239,20,40,1000,10,70,10,100,11.27140289,8.5,46.8,5000,512.6192295
240,40,10,1000,10,70,10,100,11.27140289,16.1,46.8,5000,128.1548074
241,40,20,1000,10,70,10,100,11.27140289,5.6,46.8,5000,256.3096147
242,40,40,1000,10,70,10,100,11.27140289,9.4,46.8,5000,512.6192295
243,10,10,1300,10,70,10,100,11.21521602,8.8,46.8,8450,129.9086654
244,10,20,1300,10,70,10,100,11.21521602,15.8,46.8,8450,259.8173308
245,10,40,1300,10,70,10,100,11.21521602,29.8,46.8,8450,519.6346617
246,20,10,1300,10,70,10,100,11.21521602,10.6,46.8,8450,129.9086654
247,20,20,1300,10,70,10,100,11.21521602,17.6,46.8,8450,259.8173308
248,20,40,1300,10,70,10,100,11.21521602,31.6,46.8,8450,519.6346617
249,40,10,1300,10,70,10,100,11.21521602,14.2,46.8,8450,129.9086654
250,40,20,1300,10,70,10,100,11.21521602,21.2,46.8,8450,259.8173308
251,40,40,1300,10,70,10,100,11.21521602,35.2,46.8,8450,519.6346617
252,10,10,400,40,10,40,100,10.33676675,6.8,51.12,800,119.0346367
253,10,20,400,40,10,40,100,10.33676675,12,51.12,800,238.0692733
254,10,40,400,40,10,40,100,10.33676675,5.8,51.12,800,476.1385467
255,20,10,400,40,10,40,100,10.33676675,8.4,51.12,800,119.0346367
256,20,20,400,40,10,40,100,10.33676675,13.6,51.12,800,238.0692733
257,20,40,400,40,10,40,100,10.33676675,3.4,51.12,800,476.1385467
258,40,10,400,40,10,40,100,10.33676675,6,51.12,800,119.0346367
259,40,20,400,40,10,40,100,10.33676675,11.2,51.12,800,238.0692733
260,40,40,400,40,10,40,100,10.33676675,4.2,51.12,800,476.1385467
261,10,10,700,40,10,40,100,11.95077169,16.4,51.12,2450,147.4305521
262,10,20,700,40,10,40,100,11.95077169,4.1,51.12,2450,294.8611041
263,10,40,700,40,10,40,100,11.95077169,7.3,51.12,2450,589.7222082
264,20,10,700,40,10,40,100,11.95077169,13.7,51.12,2450,147.4305521
265,20,20,700,40,10,40,100,11.95077169,5,51.12,2450,294.8611041
266,20,40,700,40,10,40,100,11.95077169,8.2,51.12,2450,589.7222082
267,40,10,700,40,10,40,100,11.95077169,14.6,51.12,2450,147.4305521
268,40,20,700,40,10,40,100,11.95077169,6.8,51.12,2450,294.8611041
269,40,40,700,40,10,40,100,11.95077169,10,51.12,2450,589.7222082
270,10,10,1000,40,10,40,100,11.41566615,5.9,51.12,5000,155.9860958
271,10,20,1000,40,10,40,100,11.41566615,9.6,51.12,5000,311.9721916
272,10,40,1000,40,10,40,100,11.41566615,17,51.12,5000,623.9443832
273,20,10,1000,40,10,40,100,11.41566615,8.1,51.12,5000,155.9860958
274,20,20,1000,40,10,40,100,11.41566615,11.8,51.12,5000,311.9721916
275,20,40,1000,40,10,40,100,11.41566615,19.2,51.12,5000,623.9443832
276,40,10,1000,40,10,40,100,11.41566615,4.8,51.12,5000,155.9860958
277,40,20,1000,40,10,40,100,11.41566615,8.5,51.12,5000,311.9721916
278,40,40,1000,40,10,40,100,11.41566615,15.9,51.12,5000,623.9443832
279,10,10,1300,40,10,40,100,11.49777238,21.4,51.12,8450,158.021872
280,10,20,1300,40,10,40,100,11.49777238,34,51.12,8450,316.0437439
281,10,40,1300,40,10,40,100,11.49777238,8.5,51.12,8450,632.0874879
282,20,10,1300,40,10,40,100,11.49777238,14.8,51.12,8450,158.021872
283,20,20,1300,40,10,40,100,11.49777238,27.4,51.12,8450,316.0437439
284,20,40,1300,40,10,40,100,11.49777238,10.7,51.12,8450,632.0874879
285,40,10,1300,40,10,40,100,11.49777238,17,51.12,8450,158.021872
286,40,20,1300,40,10,40,100,11.49777238,29.6,51.12,8450,316.0437439
287,40,40,1300,40,10,40,100,11.49777238,15.1,51.12,8450,632.0874879
288,10,10,400,40,40,10,100,10.14941822,11.5,48.96,800,107.9278122
289,10,20,400,40,40,10,100,10.14941822,4.1,48.96,800,215.8556245
290,10,40,400,40,40,10,100,10.14941822,6.8,48.96,800,431.711249
291,20,10,400,40,40,10,100,10.14941822,12.2,48.96,800,107.9278122
292,20,20,400,40,40,10,100,10.14941822,5.5,48.96,800,215.8556245
293,20,40,400,40,40,10,100,10.14941822,8.2,48.96,800,431.711249
294,40,10,400,40,40,10,100,10.14941822,13.6,48.96,800,107.9278122
295,40,20,400,40,40,10,100,10.14941822,3.4,48.96,800,215.8556245
296,40,40,400,40,40,10,100,10.14941822,6.1,48.96,800,431.711249
297,10,10,700,40,40,10,100,12.10304818,6.4,48.96,2450,133.1132375
298,10,20,700,40,40,10,100,12.10304818,9.6,48.96,2450,266.2264751
299,10,40,700,40,40,10,100,12.10304818,16,48.96,2450,532.4529502
300,20,10,700,40,40,10,100,12.10304818,4,48.96,2450,133.1132375
301,20,20,700,40,40,10,100,12.10304818,7.2,48.96,2450,266.2264751
302,20,40,700,40,40,10,100,12.10304818,13.6,48.96,2450,532.4529502
303,40,10,700,40,40,10,100,12.10304818,4.8,48.96,2450,133.1132375
304,40,20,700,40,40,10,100,12.10304818,8,48.96,2450,266.2264751
305,40,40,700,40,40,10,100,12.10304818,14.4,48.96,2450,532.4529502
306,10,10,1000,40,40,10,100,11.46544109,8.3,48.96,5000,140.7210787
307,10,20,1000,40,40,10,100,11.46544109,15.7,48.96,5000,281.4421575
308,10,40,1000,40,40,10,100,11.46544109,5.5,48.96,5000,562.8843149
309,20,10,1000,40,40,10,100,11.46544109,9.2,48.96,5000,140.7210787
310,20,20,1000,40,40,10,100,11.46544109,16.6,48.96,5000,281.4421575
311,20,40,1000,40,40,10,100,11.46544109,7.3,48.96,5000,562.8843149
312,40,10,1000,40,40,10,100,11.46544109,11,48.96,5000,140.7210787
313,40,20,1000,40,40,10,100,11.46544109,18.4,48.96,5000,281.4421575
314,40,40,1000,40,40,10,100,11.46544109,4.6,48.96,5000,562.8843149
315,10,10,1300,40,40,10,100,10.95434816,29.8,48.96,8450,142.9519105
316,10,20,1300,40,40,10,100,10.95434816,14.1,48.96,8450,285.903821
317,10,40,1300,40,40,10,100,10.95434816,20.6,48.96,8450,571.8076421
318,20,10,1300,40,40,10,100,10.95434816,33.6,48.96,8450,142.9519105
319,20,20,1300,40,40,10,100,10.95434816,8.4,48.96,8450,285.903821
320,20,40,1300,40,40,10,100,10.95434816,14.9,48.96,8450,571.8076421
321,40,10,1300,40,40,10,100,10.95434816,27.9,48.96,8450,142.9519105
322,40,20,1300,40,40,10,100,10.95434816,10.3,48.96,8450,285.903821
323,40,40,1300,40,40,10,100,10.95434816,16.8,48.96,8450,571.8076421
324,10,10,400,10,10,100,100,13.04360378,3.9,57.6,800,153.618761
325,10,20,400,10,10,100,100,13.04360378,6.6,57.6,800,307.237522
326,10,40,400,10,10,100,100,13.04360378,12,57.6,800,614.4750441
327,20,10,400,10,10,100,100,13.04360378,5.1,57.6,800,153.618761
328,20,20,400,10,10,100,100,13.04360378,7.8,57.6,800,307.237522
329,20,40,400,10,10,100,100,13.04360378,13.2,57.6,800,614.4750441
330,40,10,400,10,10,100,100,13.04360378,7.5,57.6,800,153.618761
331,40,20,400,10,10,100,100,13.04360378,10.2,57.6,800,307.237522
332,40,40,400,10,10,100,100,13.04360378,15.6,57.6,800,614.4750441
333,10,10,700,10,10,100,100,14.52123919,9.4,57.6,2450,199.4295056
334,10,20,700,10,10,100,100,14.52123919,16,57.6,2450,398.8590112
335,10,40,700,10,10,100,100,14.52123919,8.9,57.6,2450,797.7180224
336,20,10,700,10,10,100,100,14.52123919,12.2,57.6,2450,199.4295056
337,20,20,700,10,10,100,100,14.52123919,18.8,57.6,2450,398.8590112
338,20,40,700,10,10,100,100,14.52123919,4.7,57.6,2450,797.7180224
339,40,10,700,10,10,100,100,14.52123919,8,57.6,2450,199.4295056
340,40,20,700,10,10,100,100,14.52123919,14.6,57.6,2450,398.8590112
341,40,40,700,10,10,100,100,14.52123919,6.1,57.6,2450,797.7180224
342,10,10,1000,10,10,100,100,13.35130455,21.2,57.6,5000,212.815421
343,10,20,1000,10,10,100,100,13.35130455,5.3,57.6,5000,425.6308421
344,10,40,1000,10,10,100,100,13.35130455,9,57.6,5000,851.2616841
345,20,10,1000,10,10,100,100,13.35130455,16.4,57.6,5000,212.815421
346,20,20,1000,10,10,100,100,13.35130455,6.9,57.6,5000,425.6308421
347,20,40,1000,10,10,100,100,13.35130455,10.6,57.6,5000,851.2616841
348,40,10,1000,10,10,100,100,13.35130455,18,57.6,5000,212.815421
349,40,20,1000,10,10,100,100,13.35130455,10.1,57.6,5000,425.6308421
350,40,40,1000,10,10,100,100,13.35130455,13.8,57.6,5000,851.2616841
351,10,10,1300,10,10,100,100,13.50318198,12.4,57.6,8450,215.4258901
352,10,20,1300,10,10,100,100,13.50318198,18.8,57.6,8450,430.8517802
