Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
20,10,700,10,40,40,100,12.08762875,6.4,48.96,2450,134.0746013
20,20,700,10,40,40,100,12.08762875,9.6,48.96,2450,268.1492026
20,40,700,10,40,40,100,12.08762875,16,48.96,2450,536.2984053
40,10,700,10,40,40,100,12.08762875,4,48.96,2450,134.0746013
40,20,700,10,40,40,100,12.08762875,7.2,48.96,2450,268.1492026
40,40,700,10,40,40,100,12.08762875,13.6,48.96,2450,536.2984053
10,10,1000,10,40,40,100,11.43798401,11,48.96,5000,141.5645394
10,20,1000,10,40,40,100,11.43798401,18.4,48.96,5000,283.1290789
10,40,1000,10,40,40,100,11.43798401,4.6,48.96,5000,566.2581577
20,10,1000,10,40,40,100,11.43798401,8.3,48.96,5000,141.5645394
20,20,1000,10,40,40,100,11.43798401,15.7,48.96,5000,283.1290789
20,40,1000,10,40,40,100,11.43798401,5.5,48.96,5000,566.2581577
40,10,1000,10,40,40,100,11.43798401,9.2,48.96,5000,141.5645394
40,20,1000,10,40,40,100,11.43798401,16.6,48.96,5000,283.1290789
40,40,1000,10,40,40,100,11.43798401,7.3,48.96,5000,566.2581577
10,10,1300,10,40,40,100,11.18583879,27.6,48.96,8450,143.7890606
10,20,1300,10,40,40,100,11.18583879,9.7,48.96,8450,287.5781212
10,40,1300,10,40,40,100,11.18583879,16.2,48.96,8450,575.1562423
20,10,1300,10,40,40,100,11.18583879,29.2,48.96,8450,143.7890606
20,20,1300,10,40,40,100,11.18583879,12.9,48.96,8450,287.5781212
20,40,1300,10,40,40,100,11.18583879,19.4,48.96,8450,575.1562423
40,10,1300,10,40,40,100,11.18583879,32.4,48.96,8450,143.7890606
40,20,1300,10,40,40,100,11.18583879,8.1,48.96,8450,287.5781212
40,40,1300,10,40,40,100,11.18583879,14.6,48.96,8450,575.1562423
10,10,400,10,70,10,100,10.43453095,5.5,46.8,800,98.09928714
10,20,400,10,70,10,100,10.43453095,8.2,46.8,800,196.1985743
10,40,400,10,70,10,100,10.43453095,13.6,46.8,800,392.3971485
20,10,400,10,70,10,100,10.43453095,3.4,46.8,800,98.09928714
20,20,400,10,70,10,100,10.43453095,6.1,46.8,800,196.1985743
20,40,400,10,70,10,100,10.43453095,11.5,46.8,800,392.3971485
40,10,400,10,70,10,100,10.43453095,4.1,46.8,800,98.09928714
40,20,400,10,70,10,100,10.43453095,6.8,46.8,800,196.1985743
40,40,400,10,70,10,100,10.43453095,12.2,46.8,800,392.3971485
10,10,700,10,70,10,100,12.07212227,7.1,46.8,2450,121.0749083
10,20,700,10,70,10,100,12.07212227,13.5,46.8,2450,242.1498167
10,40,700,10,70,10,100,12.07212227,4.6,46.8,2450,484.2996333
20,10,700,10,70,10,100,12.07212227,7.8,46.8,2450,121.0749083
20,20,700,10,70,10,100,12.07212227,14.2,46.8,2450,242.1498167
20,40,700,10,70,10,100,12.07212227,6,46.8,2450,484.2996333
40,10,700,10,70,10,100,12.07212227,9.2,46.8,2450,121.0749083
40,20,700,10,70,10,100,12.07212227,15.6,46.8,2450,242.1498167
40,40,700,10,70,10,100,12.07212227,3.9,46.8,2450,484.2996333
