is_training,mse_Iin[A],mse_Iout[A],mse_l[mm],mse_p1[mm],mse_p2[mm],mse_p3[mm],mse_win[mm]
0,303.2314758300781,303.95428466796875,178825.140625,1551.6846923828125,1661.5643310546875,1679.51123046875,40415.91796875
0,321.10162353515625,301.6417236328125,95248.0078125,1710.605224609375,1646.297119140625,1719.6192626953125,47416.53515625
0,323.1832580566406,299.0137634277344,97427.390625,1528.977294921875,1640.9248046875,1724.91845703125,47489.4453125
0,316.98590087890625,299.64447021484375,96910.28125,1537.50341796875,1645.5611572265625,1717.3526611328125,47801.76953125
0,317.73809814453125,317.8299865722656,178075.484375,1632.4571533203125,1740.068603515625,1722.6385498046875,33451.53125
0,316.05621337890625,318.3555908203125,177786.046875,1618.4315185546875,1719.5364990234375,1717.267333984375,33642.30078125
0,317.3193664550781,318.9862976074219,177965.4375,1620.1705322265625,1729.2509765625,1715.5867919921875,31527.041015625
0,315.0050354003906,267.0578308105469,162380.09375,1671.0245361328125,1699.4544677734375,1629.270263671875,40399.62890625
0,317.1073913574219,265.9015808105469,145309.171875,1630.8502197265625,1681.1400146484375,1609.6690673828125,75847.2578125
0,317.00225830078125,261.38165283203125,146696.015625,1622.7467041015625,1678.85888671875,1620.4140625,75757.5390625
0,321.3121032714844,260.437744140625,145219.71875,1626.6575927734375,1676.0628662109375,1608.5657958984375,75497.546875
0,312.2738037109375,247.6109161376953,148115.546875,1657.59326171875,1653.5762939453125,1646.060546875,31822.15234375
0,319.2097473144531,334.75384521484375,147776.921875,1643.975830078125,1654.6229248046875,1566.628173828125,32020.3671875
0,315.5306396484375,311.20758056640625,235290.703125,1645.7252197265625,1696.249267578125,1666.561279296875,81938.28125
0,318.1590270996094,313.3099670410156,229165.390625,1643.2626953125,1707.8045654296875,1680.101318359375,82761.1484375
0,311.7460632324219,306.89788818359375,233069.265625,1642.79296875,1718.6895751953125,1675.9803466796875,82845.328125
0,310.2652587890625,243.931884765625,201625.203125,1665.656982421875,1716.481689453125,1705.341064453125,79669.875
0,312.2716369628906,269.4755859375,191082.359375,1633.5631103515625,1717.74853515625,1640.0137939453125,73646.3984375
0,317.81158447265625,396.6669616699219,194475.1875,1625.7510986328125,1719.306396484375,1645.1068115234375,73608.9140625
0,317.31756591796875,353.5696105957031,128149.3984375,1629.126953125,1749.884033203125,1663.8369140625,59681.98828125
0,312.4819641113281,372.3846740722656,39575.58203125,1735.061279296875,1607.4478759765625,1620.06640625,65711.8203125
