is_training,mse_kdiff[%],mse_Bleak[uT],mse_V_PriWind[cm3],mse_V_PriCore[cm3],mse_Pout[W]
1,47.65766143798828,809.9375610351562,796.9951171875,14249104.0,402154.59375
1,31.439327239990234,711.4364013671875,789.1856079101562,13688684.0,406036.40625
1,49.72713851928711,525.7791748046875,1077.6837158203125,8460579.0,389668.375
1,50.44365692138672,520.9478759765625,1635.8358154296875,8623641.0,387737.34375
1,50.32881546020508,521.4169921875,1635.8358154296875,8704287.0,388925.625
1,47.24501037597656,717.0316772460938,1635.6895751953125,8645745.0,389567.15625
1,27.16394805908203,1075.2763671875,1635.8358154296875,8599272.0,390297.625
1,35.2394905090332,1076.45263671875,1635.8355712890625,8539180.0,390010.5625
1,36.98931121826172,797.492431640625,1455.245361328125,8313533.5,387768.90625
1,41.38670349121094,760.156494140625,1194.7384033203125,8768792.0,343468.3125
1,41.35661697387695,760.1339721679688,1406.4364013671875,8750838.0,343806.71875
1,40.2863655090332,754.1438598632812,1320.631103515625,9385336.0,302808.0
1,38.96799087524414,735.1702270507812,1159.5814208984375,10829187.0,239769.65625
1,38.93642807006836,736.5037841796875,1168.59375,10686082.0,239744.84375
1,38.00927734375,729.1046142578125,1154.694580078125,10823106.0,239744.84375
1,36.222801208496094,735.1533203125,1178.0831298828125,10882826.0,398510.78125
1,36.14910125732422,742.7948608398438,1229.4986572265625,10844492.0,528612.8125
1,36.98136520385742,824.8091430664062,1153.4735107421875,10808180.0,528764.4375
1,37.380428314208984,730.9794921875,1153.6070556640625,10780126.0,528764.4375
1,36.774925231933594,756.4452514648438,1153.196044921875,10911754.0,528764.4375
1,36.12351608276367,829.845703125,1151.8756103515625,10788167.0,529119.4375
1,39.55857467651367,805.7274780273438,1196.0718994140625,10436400.0,512634.46875
1,41.603485107421875,745.983642578125,1495.8270263671875,8824962.0,363525.0625
1,39.49401092529297,755.8323974609375,1281.8173828125,9894115.0,384129.25
1,38.959205627441406,755.8323974609375,1253.032470703125,9862882.0,386188.9375
1,39.446285247802734,756.08203125,1257.533935546875,9841571.0,384829.4375
1,39.37685012817383,756.5240478515625,1244.361328125,9848080.0,383479.09375
1,39.689693450927734,799.167236328125,1252.821533203125,14005638.0,381613.875
1,39.194454193115234,806.9164428710938,1245.549072265625,13831423.0,372670.71875
1,42.03995132446289,805.2484130859375,1243.0316162109375,13832966.0,374966.53125
1,53.652889251708984,811.0984497070312,1257.8668212890625,13671352.0,367834.96875
1,40.85857391357422,908.1153564453125,1253.0738525390625,11456147.0,273536.90625
1,40.80318069458008,876.5247802734375,1248.315673828125,11614635.0,272757.34375
1,40.895992279052734,871.0248413085938,1135.4788818359375,11483126.0,272509.71875
1,38.6642951965332,869.8024291992188,1136.5443115234375,11517195.0,272298.40625
1,36.89795684814453,871.6068115234375,1135.83935546875,11558600.0,272789.53125
1,36.8411750793457,871.3991088867188,1133.714599609375,11618529.0,272496.71875
1,34.86812210083008,807.1588134765625,1247.6192626953125,11780030.0,307544.4375
1,27.105546951293945,773.6318969726562,1369.4310302734375,13920426.0,376570.125
1,22.2653865814209,735.2740478515625,1247.7894287109375,11935859.0,454770.21875
1,25.93580436706543,580.9237060546875,1243.3526611328125,9859484.0,512257.1875
1,30.53403663635254,892.2105102539062,1235.73779296875,13079997.0,400654.6875
1,30.74047088623047,945.2575073242188,1239.744873046875,13546063.0,389526.03125
1,30.74047088623047,945.5890502929688,1237.021240234375,13545983.0,388646.5625
1,30.74047088623047,945.1831665039062,1172.823974609375,13598182.0,391513.125
1,30.740440368652344,943.0706176757812,905.7877807617188,13631908.0,388834.09375
1,30.787384033203125,944.9180297851562,905.7877807617188,13488073.0,389847.96875
1,30.75004005432129,945.127685546875,907.9116821289062,13197706.0,388664.03125
1,44.540802001953125,923.5908203125,942.0459594726562,12769746.0,406591.59375
1,36.7191162109375,764.12548828125,1077.732666015625,14342144.0,512990.21875
1,36.68722915649414,764.1946411132812,1075.471923828125,14342144.0,511069.96875
1,36.65850830078125,820.6832275390625,1077.59912109375,14342144.0,501687.8125
1,35.92749786376953,860.1585693359375,1073.5244140625,14414325.0,287588.125
1,34.7137565612793,870.60107421875,1069.8958740234375,14410890.0,289158.40625
