is_training,mse_Iin[A],mse_Iout[A],mse_l[mm],mse_p1[mm],mse_p2[mm],mse_p3[mm],mse_win[mm]
0,317.4137268066406,289.65814208984375,179731.171875,1734.5054931640625,1676.499267578125,1704.461181640625,74202.140625
0,311.32586669921875,288.7121276855469,180379.40625,1460.0894775390625,1784.3193359375,1689.89013671875,66216.0234375
0,307.68768310546875,288.396728515625,177537.328125,1600.7122802734375,1684.8836669921875,1713.514404296875,22240.5390625
0,318.0534973144531,266.1116638183594,175950.546875,1593.8975830078125,1680.3331298828125,1713.514404296875,22150.78125
0,317.107421875,238.77822875976562,176840.4375,1583.7711181640625,1681.8782958984375,1713.514404296875,22481.818359375
0,317.21270751953125,266.216796875,177247.53125,1604.1715087890625,1687.839111328125,1713.514404296875,22395.771484375
0,319.6302185058594,236.31753540039062,162264.375,1640.238037109375,1666.719970703125,1734.9508056640625,28524.73046875
0,318.7892761230469,350.4158935546875,182765.65625,1612.4830322265625,1658.843505859375,1838.47314453125,52124.61328125
0,319.4200134277344,351.6772766113281,180358.78125,1611.0264892578125,1663.332275390625,1838.47314453125,52977.421875
0,316.8970947265625,347.3675231933594,180337.671875,1594.08740234375,1657.739990234375,1838.47314453125,52891.3828125
0,316.1627197265625,351.467041015625,178771.90625,1581.9237060546875,1757.53173828125,1838.47314453125,51544.890625
0,308.6979675292969,344.316650390625,182559.09375,1581.9237060546875,1762.899169921875,1838.47314453125,51761.8828125
0,307.75189208984375,348.7340393066406,179799.96875,1581.9237060546875,1756.6484375,1838.47314453125,51761.8828125
0,308.17236328125,347.509765625,178882.453125,1582.938720703125,1739.9425048828125,1837.5162353515625,51849.7734375
0,307.75189208984375,317.3044128417969,179689.453125,1581.9237060546875,1639.396484375,1838.47314453125,51761.8828125
0,307.5416564941406,318.3555908203125,179882.4375,1578.4454345703125,1632.623291015625,1847.0128173828125,51847.9140625
0,315.572998046875,306.2671203613281,195775.5,1590.274658203125,1666.3680419921875,1775.7276611328125,72159.6640625
0,317.13165283203125,317.8299865722656,178474.5625,1579.3984375,1679.3206787109375,1732.3504638671875,70818.7265625
0,297.765380859375,237.9395751953125,108986.546875,1599.0655517578125,1626.665771484375,1768.8829345703125,84544.8671875
0,308.2774658203125,172.13507080078125,150890.671875,1428.1937255859375,1678.399169921875,1799.6883544921875,132581.296875
0,308.3825988769531,193.3695068359375,150890.671875,1425.8853759765625,1683.256591796875,1804.10400390625,132719.71875
0,307.85699462890625,193.3695068359375,151090.671875,1518.2371826171875,1683.256591796875,1604.2806396484375,133482.78125
0,308.7059020996094,193.3695068359375,151042.421875,1518.2371826171875,1683.256591796875,1604.2806396484375,133450.984375
0,309.18731689453125,193.3695068359375,151087.875,1518.2371826171875,1680.5338134765625,1604.2806396484375,133465.953125
0,309.49969482421875,190.32095336914062,148552.96875,1516.94921875,1675.455078125,1615.0975341796875,131573.359375
0,303.7571716308594,332.2312316894531,145360.15625,1614.8607177734375,1607.4453125,1583.6514892578125,99286.6953125
0,305.5439758300781,303.9552001953125,181959.921875,1590.1007080078125,1663.254150390625,1682.7342529296875,89931.6953125
0,303.23138427734375,242.1450653076172,182111.703125,1651.2918701171875,1688.7901611328125,1678.61376953125,92379.71875
0,303.8621826171875,154.4750213623047,173845.03125,1645.952392578125,1634.572021484375,1691.5615234375,96948.953125
