x0=0mm,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],k,L1[nH],L2[nH],Bleak [T],PrimaryWinding[m3],PrimaryWinding[cm3],PrimaryCore[m3],PrimaryCore[cm3],x0=100mm,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],k,L1[nH],L2[nH],Bleak[T],PrimaryWinding[m3],PrimaryWinding[cm3],PrimaryCore[m3],PrimaryCore[cm3],w[rad/s],kdiff[%],P_0mm[W],P_100mm[W],Pout[W],Bleak[uT]
87,24.25891304,35.33297729,1063.658813,74.60093689,76.00956726,20.11460304,539.1968994,0.248082233,43652.4643,30957.34272,2.22E-05,0.000118048,1.18E+02,0.00565685,5656.850352,87,24.25891304,35.33297729,1063.658813,74.60093689,76.00956726,20.11460304,539.1968994,0.23708035,43990.10703,30939.74881,3.72E-05,0.000118048,1.18E+02,0.00565685,5656.850352,534070.7511,4.434772639,4174.767075,4003.887143,4003.887143,371.75682753
59,25.06362343,32.81769562,1063.543091,74.26257324,75.01589203,20.27728081,471.7770996,0.277373058,39390.0132,30926.75093,1.94E-05,0.000108159,1.08E+02,0.00565562,5655.619532,59,25.06362343,32.81769562,1063.543091,74.26257324,75.01589203,20.27728081,471.7770996,0.258337713,39737.15462,30913.90904,3.17E-05,0.000108159,1.08E+02,0.00565562,5655.619532,534070.7511,6.86272312,4252.802552,3977.5339,3977.5339,316.92504940
32,25.0684433,31.37152863,1020.667358,50.65132141,60.14297867,45.32636642,410.8634644,0.302075196,34248.334,30840.29385,1.55E-05,9.76E-05,9.76E+01,0.005208809,5208.809278,32,25.0684433,31.37152863,1020.667358,50.65132141,60.14297867,45.32636642,410.8634644,0.276238092,34577.84447,30813.60531,2.39E-05,9.76E-05,9.76E+01,0.005208809,5208.809278,534070.7511,8.553202984,4123.403986,3787.177167,3787.177167,239.30180219
18,25.55202866,22.48458481,883.9917603,53.48394012,53.97505569,56.01855469,325.3904419,0.310460031,28392.62821,30699.18225,1.12E-05,8.73E-05,8.73E+01,0.003907207,3907.207161,18,25.55202866,22.48458481,883.9917603,53.48394012,53.97505569,56.01855469,325.3904419,0.277766218,28688.00066,30642.34619,1.66E-05,8.73E-05,8.73E+01,0.003907207,3907.207161,534070.7511,10.53076394,2812.425,2526.967323,2526.967323,166.01685436
46,25.92139244,31.97708511,1045.084473,63.77322388,70.42334747,20.90673828,452.2598877,0.290315414,37484.50406,30897.98581,1.75E-05,0.000102557,1.03E+02,0.005461008,5461.007779,46,25.92139244,31.97708511,1045.084473,63.77322388,70.42334747,20.90673828,452.2598877,0.267057709,37860.14763,30866.19515,2.81E-05,0.000102557,1.03E+02,0.005461008,5461.007779,534070.7511,8.011184878,4373.781243,4041.418394,4041.418394,281.45988802
19,25.9661274,22.49272156,873.4093628,46.18751144,52.27676392,44.4903183,376.7346802,0.307785658,30965.2986,30665.88925,1.18E-05,9.04E-05,9.04E+01,0.00381422,3814.219575,19,25.9661274,22.49272156,873.4093628,46.18751144,52.27676392,44.4903183,376.7346802,0.275019847,31301.13073,30635.16257,1.74E-05,9.04E-05,9.04E+01,0.00381422,3814.219575,534070.7511,10.64565899,2958.433298,2656.452951,2656.452951,174.34654279
21,25.98602867,27.58785629,960.2288818,57.06427383,50.89663315,46.86651611,353.9520569,0.31354703,30456.32853,30759.05065,1.29E-05,8.97E-05,8.97E+01,0.004610198,4610.197527,21,25.98602867,27.58785629,960.2288818,57.06427383,50.89663315,46.86651611,353.9520569,0.281161865,30823.86554,30731.80643,1.96E-05,8.97E-05,8.97E+01,0.004610198,4610.197527,534070.7511,10.32864658,3674.384422,3313.223044,3313.223044,196.35953463
15,25.98971939,32.38463593,1035.022705,39.46040344,58.2182045,53.03103638,353.0445557,0.31505257,30225.88138,30796.7888,1.41E-05,8.82E-05,8.82E+01,0.00535636,5356.359999,15,25.98971939,32.38463593,1035.022705,39.46040344,58.2182045,53.03103638,353.0445557,0.283167472,30571.61279,30777.87305,2.04E-05,8.82E-05,8.82E+01,0.00535636,5356.359999,534070.7511,10.12056449,4320.804682,3904.462392,3904.462392,204.30676591
99,26.86241913,32.14797592,1062.371704,71.1803894,76.01206207,75.23710632,538.335083,0.226413993,40844.29647,31053.14552,2.90E-05,0.000129092,1.29E+02,0.005643168,5643.168187,99,26.86241913,32.14797592,1062.371704,71.1803894,76.01206207,75.23710632,538.335083,0.220049569,41005.65234,31039.5682,5.08E-05,0.000129092,1.29E+02,0.005643168,5643.168187,534070.7511,2.810967255,3718.941286,3620.743592,3620.743592,507.74732638
14,26.9315834,32.21639633,1039.924438,20.26313972,69.28990173,37.47238159,409.2168884,0.309477037,33256.74496,30804.79329,1.48E-05,9.04E-05,9.04E+01,0.005407214,5407.214184,14,26.9315834,32.21639633,1039.924438,20.26313972,69.28990173,37.47238159,409.2168884,0.277984146,33642.74218,30784.20103,2.26E-05,9.04E-05,9.04E+01,0.005407214,5407.214184,534070.7511,10.17616426,4590.025429,4145.408235,4145.408235,225.96769539
